Date,Description,Amount
02/09/21,Tarik Tunai 00903451 CK 903451-,-350000000.0
04/09/21,MCM InhouseTrf  KE UTAMA JAYA KRANINDOXfer,-50000000.0
10/09/21,2400151914/OI36000898402595Dump Truck,-45000000.0
10/09/21,Transfer Fee         Dump Truck,-6500.0
16/09/21,Setor Tunai  SEWA TMC 3 TON UTK/BGR-NK/003,37338000.0
16/09/21,Setor Tunai  SEWA ALAT VIBRO UJK /BGR-NK/005,31972500.0
16/09/21,Setor Tunai  SEWA EXCAVATOR UJK/BGR/NK/004,37926000.0
22/09/21,6240835744/OI36000898553969Lcm-2021-07-001,-35471100.0
22/09/21,Transfer Fee         Lcm-2021-07-001,-6500.0
23/09/21,MCM InhouseTrf  KE JOHANJ-2021-08-04,-29766398.0
23/09/21,MCM InhouseTrf  KE JOHANKomisiujk/bgr-nk/004,-5450000.0
23/09/21,Setor Tunai,100000000.0
29/09/21,MCM InhouseTrf  KE UTAMA JAYA KRANINDOTransfer,-50000000.0
30/09/21,Transfer 10419605 BG 419605-PEMBY DR UTAMA JAYA KRANINDO,-149600000.0
30/09/21,Biaya Adm,-25000.0
30/09/21,Bunga,341301.97
30/09/21,Pajak,-68260.39
